"store_id","date","summed_revenue","result_aarima","result_sarima"
"S0052",2019-09-22,1383.06,1153.67,1153.67
"S0052",2019-09-29,1704.37,1153.67,1153.67
"S0055",2019-09-01,1303.78,2100.22,2121.29
"S0055",2019-09-08,1732.97,1995.23,1774.02
"S0055",2019-09-15,1600.22,1615.72,1709.7
"S0055",2019-09-22,1336.62,1825.74,1697.79
"S0055",2019-09-29,2037.8,1592.73,1695.58
"S0056",2019-09-01,4590.57,13069.56,12660.68
"S0056",2019-09-08,4551,12555.87,11688.35
"S0056",2019-09-15,5398.21,15920.94,14805.19
"S0056",2019-09-22,4417.42,13671.54,13646.68
"S0056",2019-09-29,6400.11,13735.46,12988.9
"S0058",2019-09-01,1784.19,4256.03,3864.72
"S0058",2019-09-08,1876.47,3893.14,2840.41
"S0058",2019-09-15,2462.81,4327.24,2426.49
"S0058",2019-09-22,1747.08,4529.82,2259.22
"S0058",2019-09-29,1833.4,4334.11,2191.63
"S0059",2019-09-01,1054.41,2153.41,2297.38
"S0059",2019-09-08,1269.29,1540.98,1654.43
"S0059",2019-09-15,938.88,1553.5,1602.49
"S0059",2019-09-22,1133.21,1566.01,2083.81
"S0059",2019-09-29,1156.34,1578.53,2211.94
"S0061",2019-09-01,3299.42,14543.98,14543.98
"S0061",2019-09-08,3938.56,14543.98,14543.98
"S0061",2019-09-15,4604.98,14543.98,14543.98
"S0061",2019-09-22,3617.98,14543.98,14543.98
"S0061",2019-09-29,3423.16,14543.98,14543.98
"S0062",2019-09-01,9141.85,17141.44,17493.66
"S0062",2019-09-08,10623.03,13986.53,12516.85
"S0062",2019-09-15,11823.53,16304.85,12516.85
"S0062",2019-09-22,10063.72,12966,12516.85
"S0062",2019-09-29,13125.9,12950.73,12516.85
"S0067",2019-09-01,1537.99,5770,6044.91
"S0067",2019-09-08,2092.81,5937.86,6309.35
"S0067",2019-09-15,2310.53,6755.75,6813.17
"S0067",2019-09-22,1845.99,6314.72,6102.98
"S0067",2019-09-29,1779.58,6321.2,6255.41
"S0068",2019-09-01,366.31,730.46,730.46
"S0068",2019-09-08,453.18,734.23,734.23
"S0068",2019-09-15,458.18,738.01,738.01
"S0068",2019-09-22,607.66,741.79,741.79
"S0068",2019-09-29,1121.8,745.57,745.57
"S0071",2019-09-01,2001.81,3370.08,3160.67
"S0071",2019-09-08,1916.15,2584.87,2333.21
"S0071",2019-09-15,1966.25,2399.76,2333.21
"S0071",2019-09-22,1918.29,2356.12,2333.21
"S0071",2019-09-29,2190.63,2345.83,2333.21
"S0072",2019-09-01,3331,9052.22,8164.86
"S0072",2019-09-08,2895.04,9052.22,8164.86
"S0072",2019-09-15,3292.65,9052.22,8164.86
"S0072",2019-09-22,3448.67,9052.22,8164.86
"S0072",2019-09-29,3368.47,9052.22,8164.86
"S0073",2019-09-01,1415.66,2637.83,2635.67
"S0073",2019-09-08,1761.06,1956.97,1807.6
"S0073",2019-09-15,1322.83,2039.12,1816.3
"S0073",2019-09-22,1386.7,1866.58,1825
"S0073",2019-09-29,1306.52,1970.67,1833.7
"S0076",2019-09-01,1445.28,1106.45,1106.45
"S0076",2019-09-08,1340.22,1106.45,1106.45
"S0076",2019-09-15,1606.43,1106.45,1106.45
"S0076",2019-09-22,1378.22,1106.45,1106.45
"S0076",2019-09-29,1540.44,1106.45,1106.45
"S0077",2019-09-01,370.93,455.73,455.73
"S0077",2019-09-08,384.62,455.73,455.73
"S0077",2019-09-15,484.36,455.73,455.73
"S0077",2019-09-22,592.53,455.73,455.73
"S0077",2019-09-29,607.48,455.73,455.73
"S0080",2019-09-01,1557.01,2552.51,2608.76
"S0080",2019-09-08,1793.05,2110.52,2245.2
"S0080",2019-09-15,1718.48,2110.52,2116.48
"S0080",2019-09-22,2017.07,2110.52,2070.9
"S0080",2019-09-29,2036.34,2110.52,2054.76
"S0083",2019-09-01,735.24,1498.15,1498.15
"S0083",2019-09-08,587.89,631.61,631.61
"S0083",2019-09-15,928.98,1235.32,1235.32
"S0083",2019-09-22,611.1,1224.9,1224.9
"S0083",2019-09-29,659.12,874.27,874.27
"S0085",2019-09-01,20109.16,33908.34,31244.87
"S0085",2019-09-08,23264.68,31312.95,25662.7
"S0085",2019-09-15,18034.87,35269.89,28797.76
"S0085",2019-09-22,17483.93,34858.48,27037.05
"S0085",2019-09-29,17327.44,33917.78,28025.9
"S0086",2019-09-01,542.35,948.06,948.06
"S0086",2019-09-08,443.94,948.06,948.06
"S0086",2019-09-15,358.98,948.06,948.06
"S0086",2019-09-22,422.05,948.06,948.06
"S0086",2019-09-29,534.46,948.06,948.06
"S0088",2019-09-01,1220.41,3110.01,2896.07
"S0088",2019-09-08,993.06,3112.22,2896.07
"S0088",2019-09-15,743.73,3608.69,2896.07
"S0088",2019-09-22,833.22,3340.97,2896.07
"S0088",2019-09-29,1127.17,3339.12,2896.07
"S0089",2019-09-01,509.15,591.43,591.43
"S0089",2019-09-08,485.59,594.28,594.28
"S0089",2019-09-15,517.18,597.13,597.13
"S0089",2019-09-22,640.94,599.99,599.99
"S0089",2019-09-29,593.75,602.84,602.84
"S0091",2019-09-01,1518.55,5279.86,5159.44
"S0091",2019-09-08,2291.95,5279.86,5031.24
"S0091",2019-09-15,1948.84,5279.86,6187.46
"S0091",2019-09-22,1933.67,5279.86,5609.27
"S0091",2019-09-29,1884.25,5279.86,5520.57
"S0092",2019-09-01,1515.18,3027.26,3027.26
"S0092",2019-09-08,1113.3,3027.26,3027.26
"S0092",2019-09-15,1143.27,3027.26,3027.26
"S0092",2019-09-22,1172.32,3027.26,3027.26
"S0092",2019-09-29,1188,3027.26,3027.26
"S0094",2019-09-01,5439.29,10121.48,10233.3
"S0094",2019-09-08,6103.24,9966.57,10298.51
"S0094",2019-09-15,6713.85,10159.27,10363.71
"S0094",2019-09-22,4697.52,10350.86,10428.92
"S0094",2019-09-29,4824,10369.46,10494.13
"S0095",2019-09-01,7524.66,7863.81,7665.32
"S0095",2019-09-08,6879.46,8216.41,8080.83
"S0095",2019-09-15,7554.36,8238.62,7920.02
"S0095",2019-09-22,6941.61,9153.04,8899.51
"S0095",2019-09-29,8235.17,8815.47,8605.9
"S0097",2019-09-01,8932.42,15181.9,15181.9
"S0097",2019-09-08,9015.68,10158.94,10158.94
"S0097",2019-09-15,10201.75,10158.94,10158.94
"S0097",2019-09-22,7858.83,10158.94,10158.94
"S0097",2019-09-29,11238.22,10158.94,10158.94
"S0099",2019-09-01,809.66,959.83,959.83
"S0099",2019-09-08,443.5,827.56,827.56
"S0099",2019-09-15,525.33,637.93,637.93
"S0099",2019-09-22,425.01,669.87,669.87
"S0099",2019-09-29,495.5,723.81,723.81
"S0102",2019-09-01,1920.74,4829.85,3896.8
"S0102",2019-09-08,1942.88,3976.63,2662.5
"S0102",2019-09-15,1970.74,4948.93,2211.49
"S0102",2019-09-22,2013.87,4967.59,2046.7
"S0102",2019-09-29,2626.25,4652.83,1986.48
"S0104",2019-09-01,5093.48,20045.84,13745.49
"S0104",2019-09-08,6807.11,19900.79,8010.13
"S0104",2019-09-15,7527.73,21837.03,8049.68
"S0104",2019-09-22,6880.24,19664.53,8089.24
"S0104",2019-09-29,7901.48,21376.18,8128.79
"S0107",2019-09-01,825.79,1812.19,1892.31
"S0107",2019-09-08,1217.14,1178.39,1161.55
"S0107",2019-09-15,1135.04,2607.87,2418.16
"S0107",2019-09-22,1415.06,714.43,1281.97
"S0107",2019-09-29,1739.27,899.14,1281.97
"S0108",2019-09-01,3295.92,15211.19,14097.25
"S0108",2019-09-08,3379.2,15361.25,14097.25
"S0108",2019-09-15,5483.23,17140.24,14097.25
"S0108",2019-09-22,3432.79,15260.8,14097.25
"S0108",2019-09-29,3742.14,16476.26,14097.25
"S0109",2019-09-01,1765.57,5109.46,6358.42
"S0109",2019-09-08,1530.94,5209.64,7656.67
"S0109",2019-09-15,1425.8,5309.83,8370.37
"S0109",2019-09-22,1263.15,5410.01,9110.93
"S0109",2019-09-29,2353.34,5510.2,9483.08
"S0120",2019-09-01,373.66,497.44,497.44
"S0120",2019-09-08,404.31,497.44,497.44
"S0120",2019-09-15,615.17,497.44,497.44
"S0120",2019-09-22,504.81,497.44,497.44
"S0120",2019-09-29,553.02,497.44,497.44
"S0122",2019-09-01,1981.88,3548.57,3257.61
"S0122",2019-09-08,1992.27,3479.42,2769.48
"S0122",2019-09-15,1595.49,3736.76,2783.89
"S0122",2019-09-22,1389.52,3704.7,2798.3
"S0122",2019-09-29,2596.96,3645.95,2812.71
"S0126",2019-09-01,2607.85,5524.97,5642.01
"S0126",2019-09-08,3498.69,4816.43,4507.94
"S0126",2019-09-15,3408.88,4973.35,3948.37
"S0126",2019-09-22,3705.91,3802.17,3672.28
"S0126",2019-09-29,5058.87,3556.76,3536.05
"S0131",2019-09-01,1759.18,7161.03,5246.8
"S0131",2019-09-08,1735.58,7161.03,3387.31
"S0131",2019-09-15,1934.09,7161.03,3387.31
"S0131",2019-09-22,1546.06,7161.03,3387.31
"S0131",2019-09-29,2127.71,7161.03,3387.31
"S0132",2019-09-01,2754.96,11087.08,10837.19
"S0132",2019-09-08,3060.24,10101.91,9441.48
"S0132",2019-09-15,3712.46,11702.09,10717.23
"S0132",2019-09-22,2999.8,11296.57,10743.57
"S0132",2019-09-29,3429.3,10943.8,10384.74
"S0136",2019-09-01,657.46,1075.53,1053.12
"S0136",2019-09-08,417.52,1151.23,1130.89
"S0136",2019-09-15,0,786.06,765.61
"S0136",2019-09-22,0,606.76,586.31
"S0136",2019-09-29,0,606.76,586.31
"S0141",2019-09-01,237.38,486.61,471.61
"S0141",2019-09-08,493.93,567.89,564.18
"S0141",2019-09-15,315.22,567.89,542.11
"S0141",2019-09-22,427.36,567.89,547.37
"S0141",2019-09-29,339.91,567.89,546.12
"S0142",2019-09-01,1237.43,6017.89,5023.04
"S0142",2019-09-08,1281.46,5301.25,3630.2
"S0142",2019-09-15,1712.55,6350.44,3111.49
"S0142",2019-09-22,1794.39,6128.11,2918.32
"S0142",2019-09-29,1866.41,5926.3,2846.38
"S0143",2019-09-01,629.58,724.17,724.17
"S0143",2019-09-08,915.27,724.17,724.17
"S0143",2019-09-15,507.08,724.17,724.17
"S0143",2019-09-22,601.63,724.17,724.17
"S0143",2019-09-29,704.87,724.17,724.17
