store_id,date,summed_revenue
S0002,2017-06-30,263.11
S0002,2017-07-01,254.78
S0002,2017-07-02,262.98
S0002,2017-07-03,346.82
S0002,2017-07-04,226.18
S0002,2017-07-05,175.48
S0002,2017-07-06,262.59000000000003
S0002,2017-07-07,141.46
S0002,2017-07-08,586.25
S0002,2017-07-09,383.96
S0002,2017-07-10,294.73
S0002,2017-07-11,168.21
S0002,2017-07-12,165.28
S0002,2017-07-13,205.25
S0002,2017-07-14,322.19
S0002,2017-07-15,236.07000000000002
S0002,2017-07-16,342.27
S0002,2017-07-17,222.24
S0002,2017-07-18,235.51
S0002,2017-07-19,248.69
S0002,2017-07-20,177.6
S0002,2017-07-21,289.22
S0002,2017-07-22,316.04
S0002,2017-07-23,277.84000000000003
S0002,2017-07-24,247.60999999999999
S0002,2017-07-25,204.11
S0002,2017-07-26,265.17
S0002,2017-07-27,148.89
S0002,2017-07-28,230.45
S0002,2017-07-29,218.51
S0002,2017-07-30,237.13
S0002,2017-07-31,284.88
S0002,2017-08-01,271.57
S0002,2017-08-02,212.62
S0002,2017-08-03,156.68
S0002,2017-08-04,145.97
S0002,2017-08-05,232.49
S0002,2017-08-06,337.19
S0002,2017-08-07,237.79999999999998
S0002,2017-08-08,291.45
S0002,2017-08-09,250.43
S0002,2017-08-10,165.70000000000002
S0002,2017-08-11,303.8
S0002,2017-08-12,551.58
S0002,2017-08-13,405.63
S0002,2017-08-14,241.38
S0002,2017-08-15,280.69
S0002,2017-08-16,231.62
S0002,2017-08-17,305.79
S0002,2017-08-18,174.1
S0002,2017-08-19,289.9
S0002,2017-08-20,342.34000000000003
S0002,2017-08-21,222.41
S0002,2017-08-22,234.99
S0002,2017-08-23,184.47
S0002,2017-08-24,288.85
S0002,2017-08-25,202.91
S0002,2017-08-26,436.09000000000003
S0002,2017-08-27,393.89
S0002,2017-08-28,390.07
S0002,2017-08-29,496.05
S0002,2017-08-30,548.47
S0002,2017-08-31,499.1
S0002,2017-09-01,56.9
S0002,2017-09-02,130.79
S0002,2017-09-03,180.03
S0002,2017-09-04,393.2
S0002,2017-09-05,219.45000000000002
S0002,2017-09-06,417.2
S0002,2017-09-07,249.82
S0002,2017-09-08,249.35
S0002,2017-09-09,250.23000000000002
S0002,2017-09-10,326.52
S0002,2017-09-11,295.53000000000003
S0002,2017-09-12,285.76
S0002,2017-09-13,227.51
S0002,2017-09-14,985.16
S0002,2017-09-15,1001.1
S0002,2017-09-16,262.29
S0002,2017-09-17,530.34
S0002,2017-09-18,197.24
S0002,2017-09-19,300.9
S0002,2017-09-20,227.08
S0002,2017-09-21,261.18
S0002,2017-09-22,381.76
S0002,2017-09-23,236.74
S0002,2017-09-24,400.53
S0002,2017-09-25,308.29
S0002,2017-09-26,299.87
S0002,2017-09-27,222.61
S0002,2017-09-28,276.63
S0002,2017-09-29,611.93
S0002,2017-09-30,500.7
S0002,2017-10-01,507.28000000000003
S0002,2017-10-02,301.22
S0002,2017-10-03,619.59
S0002,2017-10-04,447.86
S0002,2017-10-05,462.96000000000004
S0002,2017-10-06,301.97
S0002,2017-10-07,360.59
S0002,2017-10-08,440.0
S0002,2017-10-09,278.45
S0002,2017-10-10,167.79
S0002,2017-10-11,610.29
S0002,2017-10-12,294.61
S0002,2017-10-13,262.13
S0002,2017-10-14,321.76
S0002,2017-10-15,538.15
S0002,2017-10-16,413.36
S0002,2017-10-17,287.29
S0002,2017-10-18,214.51
S0002,2017-10-19,414.68
S0002,2017-10-20,430.11
S0002,2017-10-21,381.95
S0002,2017-10-22,701.92
S0002,2017-10-23,289.82
S0002,2017-10-24,209.33
S0002,2017-10-25,229.39
S0002,2017-10-26,340.44
S0002,2017-10-27,356.24
S0002,2017-10-28,329.76
S0002,2017-10-29,398.31
S0002,2017-10-30,166.9
S0002,2017-10-31,319.21
S0002,2017-11-01,231.29999999999998
S0002,2017-11-02,346.25
S0002,2017-11-03,251.73000000000002
S0002,2017-11-04,301.77
S0002,2017-11-05,390.62
S0002,2017-11-06,298.55
S0002,2017-11-07,251.34
S0002,2017-11-08,242.29
S0002,2017-11-09,270.9
S0002,2017-11-10,348.98
S0002,2017-11-11,289.31
S0002,2017-11-12,395.36
S0002,2017-11-13,228.03
S0002,2017-11-14,352.83
S0002,2017-11-15,266.18
S0002,2017-11-16,225.73
S0002,2017-11-17,310.47
S0002,2017-11-18,482.46999999999997
S0002,2017-11-19,360.02
S0002,2017-11-20,365.48
S0002,2017-11-21,287.22
S0002,2017-11-22,245.61
S0002,2017-11-23,331.96
S0002,2017-11-24,251.24
S0002,2017-11-25,316.87
S0002,2017-11-26,285.15000000000003
S0002,2017-11-27,282.61
S0002,2017-11-28,246.09
S0002,2017-11-29,135.77
S0002,2017-11-30,258.76
S0002,2017-12-01,313.37
S0002,2017-12-02,380.06
S0002,2017-12-03,470.47
S0002,2017-12-04,177.20000000000002
S0002,2017-12-05,350.56
S0002,2017-12-06,257.88
S0002,2017-12-07,329.69
S0002,2017-12-08,407.90000000000003
S0002,2017-12-09,383.21
S0002,2017-12-10,490.39
S0002,2017-12-11,296.79
S0002,2017-12-12,249.46
S0002,2017-12-13,176.53
