"store_id","date","summed_revenue","result_arima_xreg"
"S0089",2019-09-29,593.75,550.6
"S0091",2019-09-01,1518.55,4992.4
"S0091",2019-09-08,2291.95,5805.56
"S0091",2019-09-15,1948.84,5799.9
"S0091",2019-09-22,1933.67,4951.48
"S0091",2019-09-29,1884.25,4960.65
"S0092",2019-09-01,1515.18,2665.27
"S0092",2019-09-08,1113.3,3287.18
"S0092",2019-09-15,1143.27,3291.47
"S0092",2019-09-22,1172.32,2623
"S0092",2019-09-29,1188,2619.39
"S0094",2019-09-01,5439.29,10307.36
"S0094",2019-09-08,6103.24,10501.32
"S0094",2019-09-15,6713.85,10708.21
"S0094",2019-09-22,4697.52,10533.55
"S0094",2019-09-29,4824,10555.77
"S0095",2019-09-01,7524.66,7886.99
"S0095",2019-09-08,6879.46,8417.04
"S0095",2019-09-15,7554.36,8117.6
"S0095",2019-09-22,6941.61,9187.72
"S0095",2019-09-29,8235.17,8633.98
"S0097",2019-09-01,8932.42,10727.76
"S0097",2019-09-08,9015.68,8673.71
"S0097",2019-09-15,10201.75,8565.76
"S0097",2019-09-22,7858.83,6410.27
"S0097",2019-09-29,11238.22,6385.05
"S0099",2019-09-01,809.66,1278.56
"S0099",2019-09-08,443.5,1371.3
"S0099",2019-09-15,525.33,1364.74
"S0099",2019-09-22,425.01,1242.37
"S0099",2019-09-29,495.5,1248.51
"S0102",2019-09-01,1920.74,3770.67
"S0102",2019-09-08,1942.88,2989.34
"S0102",2019-09-15,1970.74,3485.41
"S0102",2019-09-22,2013.87,2438.72
"S0102",2019-09-29,2626.25,2331.43
"S0104",2019-09-01,5093.48,15218.56
"S0104",2019-09-08,6807.11,12823.33
"S0104",2019-09-15,7527.73,13839.72
"S0104",2019-09-22,6880.24,9930.44
"S0104",2019-09-29,7901.48,10902.97
"S0107",2019-09-01,825.79,1770.16
"S0107",2019-09-08,1217.14,1644.12
"S0107",2019-09-15,1135.04,2681.83
"S0107",2019-09-22,1415.06,823.96
"S0107",2019-09-29,1739.27,1049.4
"S0108",2019-09-01,3295.92,15437.87
"S0108",2019-09-08,3379.2,16970.15
"S0108",2019-09-15,5483.23,18525.98
"S0108",2019-09-22,3432.79,15330.62
"S0108",2019-09-29,3742.14,16616.63
"S0109",2019-09-01,1765.57,4571.51
"S0109",2019-09-08,1530.94,5031.2
"S0109",2019-09-15,1425.8,4968.16
"S0109",2019-09-22,1263.15,4324.02
"S0109",2019-09-29,2353.34,4255.65
"S0120",2019-09-01,373.66,493.54
"S0120",2019-09-08,404.31,499.97
"S0120",2019-09-15,615.17,503.03
"S0120",2019-09-22,504.81,506.68
"S0120",2019-09-29,553.02,506.69
"S0122",2019-09-01,1981.88,3568.79
"S0122",2019-09-08,1992.27,3685.46
"S0122",2019-09-15,1595.49,3937.77
"S0122",2019-09-22,1389.52,3765.21
"S0122",2019-09-29,2596.96,3718.84
"S0126",2019-09-01,2607.85,5257.01
"S0126",2019-09-08,3498.69,5065.16
"S0126",2019-09-15,3408.88,5244.84
"S0126",2019-09-22,3705.91,3657.18
"S0126",2019-09-29,5058.87,3476.07
"S0131",2019-09-01,1759.18,5282.32
"S0131",2019-09-08,1735.58,3678.29
"S0131",2019-09-15,1934.09,3684.29
"S0131",2019-09-22,1546.06,3834.35
"S0131",2019-09-29,2127.71,4623.66
"S0132",2019-09-01,2754.96,11825.36
"S0132",2019-09-08,3060.24,12580.65
"S0132",2019-09-15,3712.46,13547.54
"S0132",2019-09-22,2999.8,11779.47
"S0132",2019-09-29,3429.3,12413.62
"S0136",2019-09-01,657.46,1491.55
"S0136",2019-09-08,417.52,1395.87
"S0136",2019-09-15,0,1345.69
"S0136",2019-09-22,0,1262.62
"S0136",2019-09-29,0,1175.31
"S0141",2019-09-01,237.38,516.57
"S0141",2019-09-08,493.93,608.13
"S0141",2019-09-15,315.22,608.02
"S0141",2019-09-22,427.36,591.89
"S0141",2019-09-29,339.91,592.38
"S0142",2019-09-01,1237.43,6294.38
"S0142",2019-09-08,1281.46,6510.02
"S0142",2019-09-15,1712.55,7290.82
"S0142",2019-09-22,1794.39,6440.57
"S0142",2019-09-29,1866.41,6337.71
"S0143",2019-09-01,629.58,700.49
"S0143",2019-09-08,915.27,809.99
"S0143",2019-09-15,507.08,809.93
"S0143",2019-09-22,601.63,700.29
"S0143",2019-09-29,704.87,700.23
