"store_id","ME_arima","RMSE_arima","MAE_arima","MPE_arima","MAPE_arima","ME_sarima","RMSE_sarima","MAE_sarima","MPE_sarima","MAPE_sarima"
"S0002","2339.39921469501","3206.68183327623","2339.39921469501","29.2659760028838","29.2659760028838","2012.15905966398","3068.34723163339","2116.37245477469","25.0476690784616","26.7824262540551"
"S0003","837.186484352676","939.951328748063","837.186484352676","38.6348353986579","38.6348353986579","905.630119041144","912.112197911242","905.630119041144","42.4179920387539","42.4179920387539"
"S0005","276.467503826187","503.211577002108","310.104268909322","13.8540879641803","16.685229962906","276.467503826187","503.211577002108","310.104268909322","13.8540879641803","16.685229962906"
"S0007","-107.186818181818","164.80434821916","147.084090909091","-13.6442353480304","18.7229174851573","-107.186818181818","164.80434821916","147.084090909091","-13.6442353480304","18.7229174851573"
"S0010","3362.66131219463","3400.10289652249","3362.66131219463","53.7712801509677","53.7712801509677","1690.25137718937","1970.45438285617","1690.25137718937","34.5938236504533","34.5938236504533"
"S0012","911.038821488487","952.820267832302","911.038821488487","34.4443285479988","34.4443285479988","614.823111181334","733.3889597456","614.823111181334","25.3166151364312","25.3166151364312"
"S0014","38.0238035556461","153.158699827461","107.211160711129","2.63571744593676","7.43161652073845","38.0238035556461","153.158699827461","107.211160711129","2.63571744593676","7.43161652073845"
"S0015","9957.67443197269","9975.81015088636","9957.67443197269","77.5612488057545","77.5612488057545","10246.434","10251.1543008805","10246.434","78.0649757114385","78.0649757114385"
"S0016","43.9680308090738","144.810693628708","118.775206161815","5.2218189894466","14.1062179860737","28.6165180937909","171.624134212097","125.866884671868","1.97918511827261","15.3051019892698"
"S0020","23577.5303203424","23622.2929467789","23577.5303203424","71.7820886496143","71.7820886496143","28670.044","28697.9773653796","28670.044","75.5817811015784","75.5817811015784"
"S0022","850.544304751495","879.844467834306","850.544304751495","31.0761503196124","31.0761503196124","853.436260719659","896.324688907661","853.436260719659","30.6652969231288","30.6652969231288"
"S0023","787.211215718397","1190.95994152375","902.119742080123","15.982651202008","18.9961326023268","1395.06778963185","1546.06408792584","1395.06778963185","28.2590539816476","28.2590539816476"
"S0026","6553.10211402543","8343.3626091871","6553.10211402543","32.9648750271625","32.9648750271625","4483.51792773695","6723.07663237922","4483.51792773695","23.9227892058255","23.9227892058255"
"S0030","168.483231767304","197.144816858418","168.483231767304","23.0728990245613","23.0728990245613","101.795025728635","231.297216502846","207.626442402988","7.81253546171268","34.1007349027751"
"S0032","449.34665439531","497.777495877767","449.34665439531","36.1626714444266","36.1626714444266","420.821639510719","477.360918774236","420.821639510719","34.3853989852322","34.3853989852322"
"S0036","1628.25135761839","1649.93763871309","1628.25135761839","50.267403494926","50.267403494926","1628.25135761839","1649.93763871309","1628.25135761839","50.267403494926","50.267403494926"
"S0038","7284.04443419923","7340.32940502575","7284.04443419923","44.2082859850606","44.2082859850606","5917.89928191569","5973.03236545343","5917.89928191569","39.1967403984659","39.1967403984659"
"S0039","392.318289750109","481.890495396143","394.666650047755","32.6638413648296","32.8889463105526","429.394742815742","519.675084258474","438.90825252183","34.6652487358259","35.5931097671161"
"S0040","1229.46221693998","1575.27859787632","1478.32982276219","21.6509842272878","27.4024210987125","1018.53950197317","1333.09236585848","1121.42633852176","19.0747129592855","21.2675256781221"
"S0041","57.7029636746183","87.5486796749918","79.158578204771","21.7131719399027","29.7867511410764","57.7029636746183","87.5486796749918","79.158578204771","21.7131719399027","29.7867511410764"
"S0045","322.459940615496","426.519217843374","322.459940615496","25.422863171413","25.422863171413","294.511615455973","417.58707078887","294.511615455973","23.2134499115158","23.2134499115158"
"S0046","1347.46875315832","1773.71881284948","1347.46875315832","44.6797162807439","44.6797162807439","1347.46875315832","1773.71881284948","1347.46875315832","44.6797162807439","44.6797162807439"
"S0050","4003.56515444417","4019.99263013334","4003.56515444417","60.7781384949848","60.7781384949848","1540.73354921906","1739.06834799386","1540.73354921906","34.6589325785207","34.6589325785207"
"S0052","-22.0383152565028","369.205007525521","295.315813017304","-5.64107490039194","21.8670324676756","-22.0383152565028","369.205007525521","295.315813017304","-5.64107490039194","21.8670324676756"
"S0055","223.649738440394","477.633254038648","401.679488804884","10.1743235368314","21.3520020818315","197.399678307115","431.17382613439","334.287083735684","9.66921604166539","17.7423995792432"
"S0056","8719.21412279851","8788.00694652313","8719.21412279851","63.1633913968526","63.1633913968526","8086.49751132054","8162.73297599515","8086.49751132054","61.340019143521","61.340019143521"
"S0058","2327.27898484997","2351.60663027446","2327.27898484997","54.4190020468268","54.4190020468268","775.705117892948","1062.98863967148","790.233773788508","25.0576452244742","25.6563975668921"
"S0059","568.059456949454","636.384603034522","568.059456949454","32.5225487041197","32.5225487041197","859.583097392996","911.219007028517","859.583097392996","42.4270971741388","42.4270971741388"
"S0061","10767.16","10777.2807093663","10767.16","74.0317299666254","74.0317299666254","10767.16","10777.2807093663","10767.16","74.0317299666254","74.0317299666254"
"S0062","3714.30598870925","4557.25319390919","3784.37252789346","23.8464183069335","24.3874420131324","2556.60396034334","4005.21412542137","2800.22468860279","16.6287802197279","18.5751226596828"
"S0067","4306.52922020512","4313.93787042125","4306.52922020512","69.3026633431863","69.3026633431863","4391.78245458361","4393.63750874313","4391.78245458361","69.7557102387347","69.7557102387347"
"S0068","136.586116986791","299.813836307231","287.079002709123","18.7333781872379","38.9183819669029","136.586116986791","299.813836307231","287.079002709123","18.7333781872379","38.9183819669029"
"S0071","612.707137810018","737.980231451042","612.707137810018","21.9469175065802","21.9469175065802","500.072883190184","607.295534004761","500.072883190184","18.8322244490079","18.8322244490079"
"S0072","5785.054","5788.27534056043","5785.054","63.9075718442548","63.9075718442548","4897.6896886577","4901.49425396051","4897.6896886577","59.9850122943554","59.9850122943554"
"S0073","655.680253253186","737.093801152958","655.680253253186","30.1762959187108","30.1762959187108","545.098926902598","663.947004071025","545.098926902598","25.7595499539035","25.7595499539035"
"S0076","-355.666523109176","369.224913130966","355.666523109176","-32.144791754322","32.144791754322","-355.666523109176","369.224913130966","355.666523109176","-32.144791754322","32.144791754322"
"S0077","-32.2554165214848","104.699673729074","94.618283304297","-7.07776902543252","20.7619813052076","-32.2554165214848","104.699673729074","94.618283304297","-7.07776902543252","20.7619813052076"
"S0080","374.529740125401","501.944305718638","374.529740125401","16.1123181998766","16.1123181998766","394.827624388897","542.632416270221","394.827624388897","16.5509500790485","16.5509500790485"
"S0083","388.384225851182","469.216100313904","388.384225851182","31.4727893701481","31.4727893701481","388.384225851182","469.216100313904","388.384225851182","31.4727893701481","31.4727893701481"
"S0085","14609.4721188638","15028.9872376247","14609.4721188638","42.8041672021988","42.8041672021988","8909.64141213449","9500.66929256814","8909.64141213449","31.1730979747492","31.1730979747492"
"S0086","487.701738132969","492.644552148828","487.701738132969","51.4421979291483","51.4421979291483","487.701738132969","492.644552148828","487.701738132969","51.4421979291483","51.4421979291483"
"S0088","2318.68517166653","2343.1165833183","2318.68517166653","69.9089857712229","69.9089857712229","1912.54780265596","1920.73569381634","1912.54780265596","66.0395147410662","66.0395147410662"
"S0089","47.8104387507932","73.1233323673296","64.1922861845785","8.05437643189248","10.7847508612054","47.8104387507932","73.1233323673296","64.1922861845785","8.05437643189248","10.7847508612054"
"S0091","3364.40380473157","3373.3593632147","3364.40380473157","63.7215092449408","63.7215092449408","3586.14228850556","3618.24467006991","3586.14228850556","64.9824655519059","64.9824655519059"
"S0092","1800.84239122145","1806.80169862777","1800.84239122145","59.4876072090755","59.4876072090755","1800.84239122145","1806.80169862777","1800.84239122145","59.4876072090755","59.4876072090755"
"S0094","4637.95019691844","4720.83959184643","4637.95019691844","45.4065602741697","45.4065602741697","4808.13472499787","4876.54893493595","4808.13472499787","46.3579564926986","46.3579564926986"
"S0095","1030.41774956872","1232.70767588356","1030.41774956872","11.9266709893688","11.9266709893688","807.263328722711","1055.23353935995","807.263328722711","9.52534909021667","9.52534909021667"
"S0097","1714.14925045144","3060.07386423729","2162.98885558392","12.802698993869","17.2208745538569","1714.14925045144","3060.07386423729","2162.98885558392","12.802698993869","17.2208745538569"
"S0099","224.003550801326","242.825740834043","224.003550801326","29.5605759466757","29.5605759466757","224.003550801326","242.825740834043","224.003550801326","29.5605759466757","29.5605759466757"
"S0102","2580.27007699549","2619.16616615131","2580.27007699549","54.9137207169231","54.9137207169231","465.896323083877","989.038795035013","721.804001239344","11.6043514597272","24.4868156426891"
"S0104","13722.8664686371","13746.121427769","13722.8664686371","66.7922558928293","66.7922558928293","2362.65692386859","3951.96968174688","2362.65692386859","20.4378533586691","20.4378533586691"
"S0107","175.94186831237","931.70782051772","807.746529659811","-16.7773448327121","61.1403654774015","340.730964060116","776.372605533411","599.122279223568","11.7166793582817","32.052292145417"
"S0108","12023.2927835423","12029.0381518353","12023.2927835423","75.8274377735969","75.8274377735969","10230.5898970222","10263.5788746089","10230.5898970222","72.5715502996457","72.5715502996457"
"S0109","3642.0662","3659.57035496092","3642.0662","68.6298149404771","68.6298149404771","6528.13441222874","6622.18645252334","6528.13441222874","79.3047002392618","79.3047002392618"
"S0120","7.2477986843531","90.5523294552322","79.5176402631294","1.45701440922783","15.9853153622071","7.2477986843531","90.5523294552322","79.5176402631294","1.45701440922783","15.9853153622071"
"S0122","1711.85759228052","1772.66083206947","1711.85759228052","47.0917243757796","47.0917243757796","973.174978340813","1065.36897377193","973.174978340813","33.5856359515398","33.5856359515398"
"S0126","878.697075618493","1729.69265593686","1479.53977257179","14.3829054345123","31.2758683177348","605.288433029406","1602.23900499625","1227.87010848936","9.16967943569856","26.7622737116868"
"S0131","5340.506","5344.12932500515","5340.506","74.5773443205796","74.5773443205796","1938.68384412402","2096.68026360788","1938.68384412402","49.935739002261","49.935739002261"
"S0132","7834.93638914474","7850.4459264021","7834.93638914474","71.0485289342069","71.0485289342069","7233.49057432246","7258.83754207409","7233.49057432246","69.3163064233819","69.3163064233819"
"S0136","630.269713882571","643.009486100323","630.269713882571","80.5207214525766","80.5207214525766","609.449641195751","622.753036290976","609.449641195751","80.1300912510541","80.1300912510541"
"S0141","188.873106122566","201.569048952574","188.873106122566","34.7248966207351","34.7248966207351","171.518425727496","183.413669042696","171.518425727496","32.7310362851092","32.7310362851092"
"S0142","4366.351778598","4376.88125317166","4366.351778598","73.5044649811536","73.5044649811536","1927.43524578009","2192.16713408096","1927.43524578009","51.5933338320704","51.5933338320704"
"S0143","52.4874892369607","146.959122991395","128.926093542176","7.24791642017511","17.8032053725167","52.4874892369607","146.959122991395","128.926093542176","7.24791642017511","17.8032053725167"
