"store_id","date","summed_revenue","ses_revenue","hold_revenue","hold_damped_revenue","ets_revenue","stlf_revenue"
"S0002",2019-09-01,4164.56,9729.83017223581,9709.87226780468,9632.04845393917,16282.6105008916,6893.75838143918
"S0002",2019-09-08,6267.91,9729.83017223581,9760.46053074488,9633.1477951895,16282.6105008916,7048.81524150186
"S0002",2019-09-15,5007.57,9729.83017223581,9811.04879368508,9634.1486758989,16282.6105008916,9502.43467517748
"S0002",2019-09-22,3074.56,9729.83017223581,9861.63705662528,9635.05991451034,16282.6105008916,6896.41464860064
"S0002",2019-09-29,5728.25,9729.83017223581,9912.22531956548,9635.88953965864,16282.6105008916,7233.47068043071
"S0003",2019-09-01,1030.02,1947.53714602063,1366.25844834711,1896.50641046098,5801.60777763714,1756.87939018274
"S0003",2019-09-08,1302.61,1947.53714602063,1378.67913497501,1896.94545579991,5801.60777763714,1908.03247058681
"S0003",2019-09-15,1255.4,1947.53714602063,1391.09982160291,1897.35222230084,5801.60777763714,2892.40600596607
"S0003",2019-09-22,1343.15,1947.53714602063,1403.52050823081,1897.72908312046,5801.60777763714,1919.72776913423
"S0003",2019-09-29,1215.74,1947.53714602063,1415.94119485871,1898.07823693975,5801.60777763714,2024.41121698966
"S0005",2019-09-01,1177.18,1171.24600977682,1794.08655968488,1352.25923644497,3277.98319115756,NA
"S0005",2019-09-08,1090.34,1171.24600977682,1815.44346289679,1353.56907407329,3277.98319115756,NA
"S0005",2019-09-15,1239.8,1171.24600977682,1836.80036610869,1354.83155623218,3277.98319115756,NA
"S0005",2019-09-22,1130.89,1171.24600977682,1858.1572693206,1356.04839499681,3277.98319115756,NA
"S0005",2019-09-29,1267.78,1171.24600977682,1879.51417253251,1357.22124054451,3277.98319115756,NA
"S0007",2019-09-01,867.3,785.597043228396,927.543942492615,894.635395082349,955.403630675744,NA
"S0007",2019-09-08,685.84,785.597043228396,938.948951480639,902.456327995187,968.077987191984,NA
"S0007",2019-09-15,892.32,785.597043228396,950.353960468663,910.12084215456,980.752343708224,NA
"S0007",2019-09-22,946.83,785.597043228396,961.758969456687,917.632065937442,993.426700224464,NA
"S0007",2019-09-29,1071.56,785.597043228396,973.163978444712,924.993065153228,1006.1010567407,NA
"S0010",2019-09-01,2947.91,6737.93538366179,6721.83744164325,6609.92644362418,8301.79727736494,3377.46751017031
"S0010",2019-09-08,2749.2,6737.93538366179,6750.17954634461,6610.45341858549,8301.79727736494,3851.96411543534
"S0010",2019-09-15,2851.46,6737.93538366179,6778.52165104598,6610.93770500988,8301.79727736494,4158.45143942069
"S0010",2019-09-22,2247.66,6737.93538366179,6806.86375574734,6611.38276095766,8301.79727736494,3504.9003688498
"S0010",2019-09-29,3618.38,6737.93538366179,6835.20586044871,6611.79176436281,8301.79727736494,3734.58850268055
"S0012",2019-09-01,1349.81,2666.36819032783,2559.36032153287,2616.79472921323,5719.53323349387,2129.80831373541
"S0012",2019-09-08,1937.03,2666.36819032783,2570.6685830581,2633.83085208891,5719.53323349387,2500.19052554861
"S0012",2019-09-15,1965.89,2666.36819032783,2581.97684458334,2650.52625241592,5719.53323349387,2973.98627731481
"S0012",2019-09-22,1982.73,2666.36819032783,2593.28510610857,2666.88774464706,5719.53323349387,2231.57665950385
"S0012",2019-09-29,1436.13,2666.36819032783,2604.5933676338,2682.92200694604,5719.53323349387,2407.99995942408
"S0014",2019-09-01,1134.12,1416.4485244236,1478.39215109678,1364.1746641732,1203.27438043518,1295.9785002308
"S0014",2019-09-08,1389.82,1416.4485244236,1480.90918973185,1364.28026476946,1203.27438043518,1577.36603541385
"S0014",2019-09-15,1482.46,1416.4485244236,1483.42622836692,1364.37804139291,1203.27438043518,1703.16726559364
"S0014",2019-09-22,1575.78,1416.4485244236,1485.94326700199,1364.4685737235,1203.27438043518,1467.77989993728
"S0014",2019-09-29,1440.88,1416.4485244236,1488.46030563706,1364.5523984926,1203.27438043518,1642.81304247717
"S0015",2019-09-01,2545.12,12653.8305843814,12648.4928562493,12611.098654846,17273.7275338395,7670.8383711566
"S0015",2019-09-08,2759.73,12653.8305843814,12726.9670215118,12611.9752401159,21422.7071166727,7912.45716198134
"S0015",2019-09-15,2664.79,12653.8305843814,12805.4411867744,12612.7782477925,25571.686699506,8650.63701768879
"S0015",2019-09-22,3001.69,12653.8305843814,12883.915352037,12613.5138537292,29720.6662823393,8061.74783156735
"S0015",2019-09-29,3424.1,12653.8305843814,12962.3895172996,12614.1877153994,33869.6458651726,8060.88024271558
"S0016",2019-09-01,587.25,837.202112722229,843.57699895861,836.763506707568,785.652351989269,722.571014522482
"S0016",2019-09-08,698.55,837.202112722229,846.037269051913,836.914202724121,785.652351989269,832.727893808328
"S0016",2019-09-15,905.45,837.202112722229,848.497539145215,837.061884814461,785.652351989269,872.544774599452
"S0016",2019-09-22,833.36,837.202112722229,850.957809238518,837.206613257231,785.652351989269,1082.27382316625
"S0016",2019-09-29,965.58,837.202112722229,853.41807933182,837.348447125496,785.652351989269,924.362033717423
"S0020",2019-09-01,9500.83,34663.1302526486,34527.1185290454,34356.2483313608,37929.988328168,21811.1423135236
"S0020",2019-09-08,9153.79,34663.1302526486,34727.5286988889,34358.8429154248,37929.988328168,22209.7111711975
"S0020",2019-09-15,9709.7,34663.1302526486,34927.9388687324,34361.2192906618,37929.988328168,23801.755124594
"S0020",2019-09-22,7027.49,34663.1302526486,35128.349038576,34363.3958087963,37929.988328168,22780.4415787049
"S0020",2019-09-29,10920.37,34663.1302526486,35328.7592084195,34365.3892781425,37929.988328168,22502.4694681034
"S0022",2019-09-01,1764.53,2581.80789361944,2609.09453559477,2513.52540815127,2068.77088340182,1928.71167167483
"S0022",2019-09-08,1521.2,2581.80789361944,2612.40195978813,2513.68949696866,2068.77088340182,2516.74863162951
"S0022",2019-09-15,2268.27,2581.80789361944,2615.70938398149,2513.84216344917,2068.77088340182,2504.18663641378
"S0022",2019-09-22,2029.36,2581.80789361944,2619.01680817485,2513.98420270962,2068.77088340182,2616.40132408339
"S0022",2019-09-29,1829.34,2581.80789361944,2622.32423236822,2514.11635451821,2068.77088340182,2512.37175721986
"S0023",2019-09-01,3422.93,4496.80052263051,4491.46237419495,3793.09026380818,10980.5222195333,3902.60768188889
"S0023",2019-09-08,4100.42,4496.80052263051,4528.89202641799,3868.17362727423,10980.5222195333,4048.07729048286
"S0023",2019-09-15,3097.54,4496.80052263051,4566.32167864102,3939.00790026237,10980.5222195333,6181.25298238666
"S0023",2019-09-22,3029.67,4496.80052263051,4603.75133086406,4005.83354576007,10980.5222195333,4406.15620832988
"S0023",2019-09-29,3375.02,4496.80052263051,4641.1809830871,4068.87741856064,10980.5222195333,4550.39076229064
"S0026",2019-09-01,9467.8,31374.0136288435,31037.1823721115,30717.7044228806,37183.5559331071,23100.3608744322
"S0026",2019-09-08,10584.75,31374.0136288435,31213.5175139795,30720.1608716218,37183.5559331071,24766.1846166463
"S0026",2019-09-15,12547.99,31374.0136288435,31389.8526558475,30722.3894625239,37183.5559331071,27162.921364859
"S0026",2019-09-22,10771.06,31374.0136288435,31566.1877977154,30724.4113314626,37183.5559331071,25220.3661627194
"S0026",2019-09-29,12256.18,31374.0136288435,31742.5229395834,30726.2456537697,37183.5559331071,25830.7433827944
"S0030",2019-09-01,589.66,729.777550019953,736.281244913757,700.539434952599,707.657455561038,629.14819082713
"S0030",2019-09-08,532.06,729.777550019953,759.430716945222,721.375307857709,730.951637485239,587.199064487119
"S0030",2019-09-15,631.86,729.777550019953,782.580188976687,741.794462749358,754.24581940944,787.132022217859
"S0030",2019-09-22,667.16,729.777550019953,805.729661008152,761.805233998922,777.54000133364,675.462561166964
"S0030",2019-09-29,381.34,729.777550019953,828.879133039616,781.415789290128,800.834183257841,637.293865124363
"S0032",2019-09-01,743.71,1265.75521843951,1275.16180553987,1255.25676255316,1316.21111134495,1175.36596932523
"S0032",2019-09-08,609.42,1265.75521843951,1280.06425032614,1255.35958959119,1316.21111134495,1089.56736548444
"S0032",2019-09-15,857.87,1265.75521843951,1284.96669511242,1255.45400182717,1316.21111134495,1352.19446990863
"S0032",2019-09-22,689.82,1265.75521843951,1289.86913989869,1255.54068788245,1316.21111134495,1155.75697213199
"S0032",2019-09-29,807.61,1265.75521843951,1294.77158468497,1255.62028002536,1316.21111134495,1315.85223816979
"S0036",2019-09-01,1613.28,3053.84098490496,2993.67876270247,3023.58865842568,4366.13166997291,NA
"S0036",2019-09-08,1552.92,3053.84098490496,3019.56619747508,3023.94052075757,4366.13166997291,NA
"S0036",2019-09-15,2018.23,3053.84098490496,3045.4536322477,3024.24225822311,4366.13166997291,NA
"S0036",2019-09-22,1185.74,3053.84098490496,3071.34106702031,3024.50101140543,4366.13166997291,NA
"S0036",2019-09-29,1684.47,3053.84098490496,3097.22850179292,3024.72290366941,4366.13166997291,NA
"S0038",2019-09-01,8794.7,15013.3082370865,14956.075425688,14957.4950950081,14906.2454649328,11111.0051091307
"S0038",2019-09-08,9482.83,15013.3082370865,15028.2045181341,14958.371488478,14906.2454649328,10928.4738604757
"S0038",2019-09-15,9195.3,15013.3082370865,15100.3336105801,14959.0812658955,14906.2454649328,13508.7233212425
"S0038",2019-09-22,7981.76,15013.3082370865,15172.4627030262,14959.6561035681,14906.2454649328,11400.3504745588
"S0038",2019-09-29,10445.6,15013.3082370865,15244.5917954722,14960.1216556435,14906.2454649328,10391.2749981418
"S0039",2019-09-01,595.78,1397.23174463902,1238.61130557424,1327.91788385312,2013.41366899853,835.091316226365
"S0039",2019-09-08,784.55,1397.23174463902,1244.07968442838,1328.06588377588,2013.41366899853,955.054972179756
"S0039",2019-09-15,627.13,1397.23174463902,1249.54806328251,1328.20213839374,2013.41366899853,1120.00213088423
"S0039",2019-09-22,632.01,1397.23174463902,1255.01644213665,1328.32757981658,2013.41366899853,1048.16454384747
"S0039",2019-09-29,1049.1,1397.23174463902,1260.48482099078,1328.4430661818,2013.41366899853,1141.0143030967
"S0040",2019-09-01,3278.88,5131.21153119174,5287.56115787787,5055.09023320771,8554.64016282111,5208.83957045325
"S0040",2019-09-08,3793.41,5131.21153119174,5303.55403072497,5055.70787499236,8554.64016282111,5454.1885687921
"S0040",2019-09-15,4288.84,5131.21153119174,5319.54690357208,5056.27239704544,8554.64016282111,6532.91140125851
"S0040",2019-09-22,4949.22,5131.21153119174,5335.53977641918,5056.78836788216,8554.64016282111,5927.73478804852
"S0040",2019-09-29,3908.95,5131.21153119174,5351.53264926629,5057.25996310664,8554.64016282111,5723.25692297475
"S0041",2019-09-01,319.39,265.515474557514,266.165777867419,265.231454951777,262.39082519731,285.931622379471
"S0041",2019-09-08,228.27,265.515474557514,266.343969544021,265.240214237326,262.39082519731,196.147669510752
"S0041",2019-09-15,209.61,265.515474557514,266.522161220624,265.248199465022,262.39082519731,237.141210069714
"S0041",2019-09-22,143.22,265.515474557514,266.700352897226,265.255479038338,262.39082519731,201.930304655636
"S0041",2019-09-29,139.75,265.515474557514,266.878544573829,265.262115315934,262.39082519731,195.870122692745
"S0045",2019-09-01,638.9,1224.80664022089,981.400038810998,1225.24866246709,1703.41405884904,990.244467820372
"S0045",2019-09-08,819.72,1224.80664022089,984.945495393012,1225.3553815991,1703.41405884904,1069.52207833842
"S0045",2019-09-15,757.19,1224.80664022089,988.490951975025,1225.44617452136,1703.41405884904,1340.60853403266
"S0045",2019-09-22,1027.42,1224.80664022089,992.036408557038,1225.5234179788,1703.41405884904,1410.60230434763
"S0045",2019-09-29,993.66,1224.80664022089,995.581865139051,1225.58913402329,1703.41405884904,1230.90572957539
"S0046",2019-09-01,939,5638.59428137168,5432.63202170277,5255.70355915389,7096.58782964732,NA
"S0046",2019-09-08,1087.48,5638.59428137168,5497.15480876142,5261.78351921194,7096.58782964732,NA
"S0046",2019-09-15,1181.58,5638.59428137168,5561.67759582007,5267.7418799834,7096.58782964732,NA
"S0046",2019-09-22,1057.04,5638.59428137168,5626.20038287872,5273.58107345571,7096.58782964732,NA
"S0046",2019-09-29,1528.96,5638.59428137168,5690.72316993738,5279.30348297653,7096.58782964732,NA
"S0050",2019-09-01,2826.01,5983.48459764509,5889.23697815818,5939.52332294561,7363.98553213005,4344.72383868622
"S0050",2019-09-08,2663.06,5983.48459764509,5923.60076615195,5940.09594003724,7363.98553213005,4671.01936838111
"S0050",2019-09-15,2843.01,5983.48459764509,5957.96455414573,5940.63990335686,7363.98553213005,5126.54663738081
"S0050",2019-09-22,2429.3,5983.48459764509,5992.3283421395,5941.15664673986,7363.98553213005,4876.16588002957
"S0050",2019-09-29,2124.72,5983.48459764509,6026.69213013327,5941.64753227248,7363.98553213005,4661.31946440885
"S0052",2019-09-01,1325.52,1715.32693021967,1759.46322358995,1692.5809295083,3239.57132643559,1332.90996156675
"S0052",2019-09-08,1166.98,1715.32693021967,1763.44384196889,1692.77472874749,3239.57132643559,1679.19047339363
"S0052",2019-09-15,1026.7,1715.32693021967,1767.42446034783,1692.95076650701,3239.57132643559,2007.03690433338
"S0052",2019-09-22,1383.06,1715.32693021967,1771.40507872677,1693.11067060625,3239.57132643559,1557.53521381756
"S0052",2019-09-29,1704.37,1715.32693021967,1775.3856971057,1693.25591967679,3239.57132643559,1569.91660166772
"S0055",2019-09-01,1303.78,1703.17113149774,1667.39355720413,1706.19744021776,1592.38412888919,1281.56694938667
"S0055",2019-09-08,1732.97,1703.17113149774,1671.97892226924,1706.36021497685,1592.38412888919,1841.96081850982
"S0055",2019-09-15,1600.22,1703.17113149774,1676.56428733434,1706.50069217056,1592.38412888919,2336.61450549417
"S0055",2019-09-22,1336.62,1703.17113149774,1681.14965239945,1706.6219262124,1592.38412888919,2006.93816898477
"S0055",2019-09-29,2037.8,1703.17113149774,1685.73501746456,1706.72655310955,1592.38412888919,1848.85126594889
"S0056",2019-09-01,4590.57,12807.6843433219,12768.5417887706,12707.5094345489,15930.2672030519,10072.358828028
"S0056",2019-09-08,4551,12807.6843433219,12895.3288851789,12708.8488167831,15930.2672030519,9907.42857891567
"S0056",2019-09-15,5398.21,12807.6843433219,13022.1159815873,12710.0564060813,15930.2672030519,11679.8613900515
"S0056",2019-09-22,4417.42,12807.6843433219,13148.9030779956,12711.1451706443,15930.2672030519,10041.4021572202
"S0056",2019-09-29,6400.11,12807.6843433219,13275.690174404,12712.1268026242,15930.2672030519,10574.8295594266
"S0058",2019-09-01,1784.19,3769.17046319382,3843.10879216987,3513.60294710835,6399.18829712113,2626.99562234827
"S0058",2019-09-08,1876.47,3769.17046319382,3856.17401043561,3514.06346918455,6399.18829712113,2931.06513572794
"S0058",2019-09-15,2462.81,3769.17046319382,3869.23922870136,3514.48909560417,6399.18829712113,3657.69638981147
"S0058",2019-09-22,1747.08,3769.17046319382,3882.3044469671,3514.882470555,6399.18829712113,2965.93266354525
"S0058",2019-09-29,1833.4,3769.17046319382,3895.36966523284,3515.24603786381,6399.18829712113,3026.18439265449
"S0059",2019-09-01,1054.41,2020.84006748268,1864.1964796976,1558.49046032851,1205.00801168503,1105.6474405528
"S0059",2019-09-08,1269.29,2020.84006748268,1881.09060615653,1558.73341022939,1253.36028820494,1401.97909211496
"S0059",2019-09-15,938.88,2020.84006748268,1897.98473261547,1558.96194166724,1301.71256472485,1615.29036558215
"S0059",2019-09-22,1133.21,2020.84006748268,1914.8788590744,1559.17691034145,1350.06484124476,1300.5953286701
"S0059",2019-09-29,1156.34,2020.84006748268,1931.77298553334,1559.37912116776,1398.41711776467,1435.04984044113
"S0061",2019-09-01,3299.42,13013.8616367712,13107.7482471207,12951.9968297103,14543.17334121,NA
"S0061",2019-09-08,3938.56,13013.8616367712,13290.1900294444,12952.8294692504,14543.17334121,NA
"S0061",2019-09-15,4604.98,13013.8616367712,13472.631811768,12953.5442167465,14543.17334121,NA
"S0061",2019-09-22,3617.98,13013.8616367712,13655.0735940916,12954.1577643366,14543.17334121,NA
"S0061",2019-09-29,3423.16,13013.8616367712,13837.5153764152,12954.6844407466,14543.17334121,NA
"S0062",2019-09-01,9141.85,14782.7360492422,15650.0783895876,13734.7145076905,30983.0142435309,11739.8422187406
"S0062",2019-09-08,10623.03,14782.7360492422,15694.1118945557,13736.4933299417,30983.0142435309,13762.235713937
"S0062",2019-09-15,11823.53,14782.7360492422,15738.1453995239,13738.1327156605,30983.0142435309,19044.6776265461
"S0062",2019-09-22,10063.72,14782.7360492422,15782.1789044921,13739.6435948579,30983.0142435309,13973.7635032083
"S0062",2019-09-29,13125.9,14782.7360492422,15826.2124094603,13741.0360407739,30983.0142435309,14393.1027616681
"S0067",2019-09-01,1537.99,5802.31603592111,5787.69506652816,5755.85156815479,6768.23590850414,4107.83129193496
"S0067",2019-09-08,2092.81,5802.31603592111,5816.11967726968,5756.31939904285,6768.23590850414,4503.27914515858
"S0067",2019-09-15,2310.53,5802.31603592111,5844.54428801121,5756.7525805225,6768.23590850414,4522.15181223667
"S0067",2019-09-22,1845.99,5802.31603592111,5872.96889875273,5757.15367886615,6768.23590850414,4536.15208644673
"S0067",2019-09-29,1779.58,5802.31603592111,5901.39350949426,5757.52507027793,6768.23590850414,4771.70992397244
"S0068",2019-09-01,366.31,801.0582894815,711.827508884989,635.207925541564,680.706016871842,733.164498628975
